group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_alt_inline,1,35,,,114199.0,events,1768
pow_alt_inline,1,35,,,227351.0,events,3536
pow_alt_inline,1,35,,,340503.0,events,5304
pow_alt_inline,1,35,,,453655.0,events,7072
pow_alt_inline,1,35,,,566807.0,events,8840
pow_alt_inline,1,35,,,679959.0,events,10608
pow_alt_inline,1,35,,,793111.0,events,12376
pow_alt_inline,1,35,,,906263.0,events,14144
pow_alt_inline,1,35,,,1019415.0,events,15912
pow_alt_inline,1,35,,,1132567.0,events,17680
pow_alt_inline,1,35,,,1245719.0,events,19448
pow_alt_inline,1,35,,,1358871.0,events,21216
pow_alt_inline,1,35,,,1472023.0,events,22984
pow_alt_inline,1,35,,,1585175.0,events,24752
pow_alt_inline,1,35,,,1698327.0,events,26520
pow_alt_inline,1,35,,,1811479.0,events,28288
pow_alt_inline,1,35,,,1924631.0,events,30056
pow_alt_inline,1,35,,,2042115.0,events,31824
pow_alt_inline,1,35,,,2150935.0,events,33592
pow_alt_inline,1,35,,,2264087.0,events,35360
pow_alt_inline,1,35,,,2377239.0,events,37128
pow_alt_inline,1,35,,,2490391.0,events,38896
pow_alt_inline,1,35,,,2603543.0,events,40664
pow_alt_inline,1,35,,,2716695.0,events,42432
pow_alt_inline,1,35,,,2829847.0,events,44200
pow_alt_inline,1,35,,,2942999.0,events,45968
pow_alt_inline,1,35,,,3060324.0,events,47736
pow_alt_inline,1,35,,,3169303.0,events,49504
pow_alt_inline,1,35,,,3282455.0,events,51272
pow_alt_inline,1,35,,,3395607.0,events,53040
pow_alt_inline,1,35,,,3508759.0,events,54808
pow_alt_inline,1,35,,,3621911.0,events,56576
pow_alt_inline,1,35,,,3735063.0,events,58344
pow_alt_inline,1,35,,,3852546.0,events,60112
pow_alt_inline,1,35,,,3961367.0,events,61880
pow_alt_inline,1,35,,,4074519.0,events,63648
pow_alt_inline,1,35,,,4187671.0,events,65416
pow_alt_inline,1,35,,,4300823.0,events,67184
pow_alt_inline,1,35,,,4413975.0,events,68952
pow_alt_inline,1,35,,,4531448.0,events,70720
pow_alt_inline,1,35,,,4640279.0,events,72488
pow_alt_inline,1,35,,,4753431.0,events,74256
pow_alt_inline,1,35,,,4866583.0,events,76024
pow_alt_inline,1,35,,,4979735.0,events,77792
pow_alt_inline,1,35,,,5097063.0,events,79560
pow_alt_inline,1,35,,,5206039.0,events,81328
pow_alt_inline,1,35,,,5319191.0,events,83096
pow_alt_inline,1,35,,,5445211.0,events,84864
pow_alt_inline,1,35,,,5545495.0,events,86632
pow_alt_inline,1,35,,,5662826.0,events,88400
pow_alt_inline,1,35,,,5771799.0,events,90168
pow_alt_inline,1,35,,,5884951.0,events,91936
pow_alt_inline,1,35,,,5998103.0,events,93704
pow_alt_inline,1,35,,,6115576.0,events,95472
pow_alt_inline,1,35,,,6224407.0,events,97240
pow_alt_inline,1,35,,,6337559.0,events,99008
pow_alt_inline,1,35,,,6450711.0,events,100776
pow_alt_inline,1,35,,,6568046.0,events,102544
pow_alt_inline,1,35,,,6677015.0,events,104312
pow_alt_inline,1,35,,,6790167.0,events,106080
pow_alt_inline,1,35,,,6907503.0,events,107848
pow_alt_inline,1,35,,,7016471.0,events,109616
pow_alt_inline,1,35,,,7129623.0,events,111384
pow_alt_inline,1,35,,,7242775.0,events,113152
pow_alt_inline,1,35,,,7360248.0,events,114920
pow_alt_inline,1,35,,,7482702.0,events,116688
pow_alt_inline,1,35,,,7582231.0,events,118456
pow_alt_inline,1,35,,,7699540.0,events,120224
pow_alt_inline,1,35,,,7808535.0,events,121992
pow_alt_inline,1,35,,,7921687.0,events,123760
pow_alt_inline,1,35,,,8038955.0,events,125528
pow_alt_inline,1,35,,,8147991.0,events,127296
pow_alt_inline,1,35,,,8261143.0,events,129064
pow_alt_inline,1,35,,,8378559.0,events,130832
pow_alt_inline,1,35,,,8487447.0,events,132600
pow_alt_inline,1,35,,,8600599.0,events,134368
pow_alt_inline,1,35,,,8717889.0,events,136136
pow_alt_inline,1,35,,,8826903.0,events,137904
pow_alt_inline,1,35,,,8940055.0,events,139672
pow_alt_inline,1,35,,,9057323.0,events,141440
pow_alt_inline,1,35,,,9166359.0,events,143208
pow_alt_inline,1,35,,,9283785.0,events,144976
pow_alt_inline,1,35,,,9392663.0,events,146744
pow_alt_inline,1,35,,,9505815.0,events,148512
pow_alt_inline,1,35,,,9625868.0,events,150280
pow_alt_inline,1,35,,,9732119.0,events,152048
pow_alt_inline,1,35,,,9845271.0,events,153816
pow_alt_inline,1,35,,,9962539.0,events,155584
pow_alt_inline,1,35,,,10071575.0,events,157352
pow_alt_inline,1,35,,,10189149.0,events,159120
pow_alt_inline,1,35,,,10297879.0,events,160888
pow_alt_inline,1,35,,,10415147.0,events,162656
pow_alt_inline,1,35,,,10524183.0,events,164424
pow_alt_inline,1,35,,,10637335.0,events,166192
pow_alt_inline,1,35,,,10754603.0,events,167960
pow_alt_inline,1,35,,,10863639.0,events,169728
pow_alt_inline,1,35,,,10981077.0,events,171496
pow_alt_inline,1,35,,,11089943.0,events,173264
pow_alt_inline,1,35,,,11207211.0,events,175032
pow_alt_inline,1,35,,,11316247.0,events,176800
